#t	PDR	Latency	Energy
5	0.04403131115459882	2.1333333333333333	1.1071111111111118
10	0.09001956947162426	2.7934782608695654	1.4458695652173914
15	0.14579256360078277	3.0201342281879193	1.5628187919463095
30	0.35518590998043054	4.801652892561983	2.4594490358126664
45	0.4931506849315068	4.563492063492063	2.340079365079354
60	0.6966731898238747	4.474719101123595	2.2944943820224513
75	0.8972602739726028	5.092693565976009	2.6043838604143703
90	0.9941291585127201	5.0797244094488185	2.5975590551180834
