ID	s	d	ts	te	m	LLC	ELC
----------------------------------------------------
29	1	8	0	5	100	5	0
89	1	8	1	3	25	2	0
93	3	10	1	3	50	2	0
25	4	11	1	2	10	1	0
46	3	11	1	2	1	1	0
56	6	8	2	5	50	3	0
71	6	9	2	3	1	1	0
7	0	9	3	4	10	1	0
44	3	10	3	4	25	1	0
70	4	11	3	4	10	1	0
52	0	9	4	5	25	1	0
75	0	8	1	6	10	5	0
92	1	9	3	9	10	6	0
20	2	11	5	6	25	1	0
79	2	11	5	7	50	2	0
63	6	9	6	10	10	4	0
97	0	9	6	8	50	2	0
49	7	10	7	8	10	1	0
27	3	11	7	11	10	4	0
35	5	8	7	9	1	2	0
21	6	8	8	11	50	3	0
2	1	8	8	10	25	2	0
64	6	9	8	12	10	4	0
80	6	9	8	9	1	1	0
3	0	9	8	9	10	1	0
17	0	9	8	10	50	2	0
9	2	10	7	12	10	5	0
13	3	10	8	9	1	1	0
45	6	8	9	10	10	1	0
54	7	10	9	10	1	1	0
16	3	10	9	10	25	1	0
41	0	9	10	13	100	3	0
73	3	10	10	11	10	1	0
78	1	8	11	12	1	1	0
85	1	9	9	15	10	6	0
98	3	9	5	11	1	6	0
59	2	9	3	11	1	8	0
40	2	11	11	13	50	2	0
33	4	8	5	13	1	8	0
12	3	8	5	13	1	8	0
22	2	8	2	13	1	11	0
4	4	8	0	13	1	13	0
88	1	8	12	17	100	5	0
51	7	10	12	14	50	2	0
14	2	10	1	16	100	15	0
48	2	10	7	14	50	7	0
28	4	10	7	16	100	9	0
0	2	11	12	15	100	3	0
39	2	11	12	15	100	3	0
74	7	10	13	16	100	3	0
43	2	10	7	17	100	10	0
10	1	10	2	13	1	11	0
18	0	10	3	13	1	10	0
65	0	11	7	14	1	7	0
34	6	8	14	15	1	1	0
91	0	9	14	15	25	1	0
38	1	10	8	14	1	6	0
26	5	10	10	14	1	4	0
55	2	8	8	16	1	8	0
72	0	9	15	16	10	1	0
90	0	9	15	17	50	2	0
87	3	9	2	15	10	13	0
81	7	10	15	18	100	3	0
1	1	10	9	15	1	6	0
32	7	11	8	17	50	9	0
5	7	11	7	17	50	10	0
99	7	11	12	15	10	3	0
6	5	8	7	18	25	11	0
24	5	8	10	18	25	8	0
67	0	10	9	19	10	10	0
30	0	10	8	19	10	11	0
66	5	10	7	19	10	12	0
11	1	10	10	16	1	6	0
82	0	8	8	20	50	12	0
37	3	8	0	18	10	18	0
31	3	8	5	18	10	13	0
60	1	9	11	18	25	7	0
84	0	10	10	20	10	10	0
53	3	11	5	21	100	16	0
57	0	8	12	21	50	9	0
68	2	8	11	19	1	8	0
61	2	8	1	19	10	18	0
47	1	9	7	20	50	13	0
77	5	10	14	18	1	4	0
8	7	11	13	20	50	7	0
83	5	8	10	24	100	14	0
42	0	8	4	24	100	20	0
76	7	9	15	19	1	4	0
96	6	9	15	21	50	6	0
19	6	9	13	24	100	11	0
62	6	9	3	24	100	21	0
50	6	11	15	21	1	6	0
36	3	11	14	24	100	10	0
86	3	11	15	25	100	10	0
15	0	11	3	21	10	18	0
69	1	9	12	24	50	12	0
95	7	8	11	24	10	13	0
58	6	11	7	23	10	16	0
23	4	8	8	25	10	17	0
94	2	9	15	27	10	12	0
