ID	s	d	ts	te	LLC	ELC
2295	15	4	2	6	6	1.0
3275	15	4	3	6	6	1.0
4255	15	4	4	6	6	1.0
5233	15	4	5	6	6	1.0
1057	3	8	1	6	7	1.0
2037	3	8	2	6	7	1.0
3017	3	8	3	6	7	1.0
3997	3	8	4	6	7	1.0
4975	3	8	5	6	7	1.0
5951	3	8	6	6	1	1.0
804	33	15	0	6	6	1.0
1784	33	15	1	6	6	1.0
2764	33	15	2	6	6	1.0
3744	33	15	3	6	6	1.0
4724	33	15	4	6	6	1.0
5702	33	15	5	6	6	1.0
374	16	15	0	6	6	1.0
1354	16	15	1	6	6	1.0
2334	16	15	2	6	6	1.0
3314	16	15	3	6	6	1.0
4294	16	15	4	6	6	1.0
5272	16	15	5	6	6	1.0
3745	33	16	3	6	5	2.0
4725	33	16	4	6	5	2.0
5703	33	16	5	6	5	2.0
743	31	16	0	6	6	1.0
1723	31	16	1	6	6	1.0
2703	31	16	2	6	6	1.0
3683	31	16	3	6	6	1.0
4663	31	16	4	6	6	1.0
5641	31	16	5	6	6	1.0
375	16	17	0	6	7	1.0
1355	16	17	1	6	7	1.0
2335	16	17	2	6	7	1.0
3315	16	17	3	6	7	1.0
4295	16	17	4	6	7	1.0
4695	32	17	4	6	7	2.0
3715	32	17	3	6	7	2.0
2735	32	17	2	6	7	2.0
1755	32	17	1	6	7	2.0
775	32	17	0	6	7	2.0
5273	16	17	5	6	7	1.0
5642	31	17	5	6	7	2.0
4664	31	17	4	6	7	2.0
3684	31	17	3	6	7	2.0
2704	31	17	2	6	7	2.0
1724	31	17	1	6	7	2.0
744	31	17	0	6	7	2.0
6247	16	17	6	6	7	1.0
377	16	20	0	6	5	1.0
1357	16	20	1	6	5	1.0
2337	16	20	2	6	5	1.0
3317	16	20	3	6	5	1.0
4297	16	20	4	6	5	1.0
93	4	20	0	6	3	1.0
1073	4	20	1	6	3	1.0
2053	4	20	2	6	3	1.0
3033	4	20	3	6	3	1.0
4013	4	20	4	6	3	1.0
1016	1	20	1	6	4	1.0
1996	1	20	2	6	4	1.0
2976	1	20	3	6	3	2.0
475	20	24	0	6	3	1.0
1455	20	24	1	6	3	1.0
2435	20	24	2	6	3	1.0
3415	20	24	3	6	3	1.0
4395	20	24	4	6	3	1.0
2980	1	24	3	6	5	3.0
2000	1	24	2	6	5	2.0
1020	1	24	1	6	5	2.0
381	16	24	0	6	5	1.0
1361	16	24	1	6	5	1.0
2341	16	24	2	6	5	1.0
3321	16	24	3	6	5	1.0
4301	16	24	4	6	5	1.0
97	4	24	0	6	3	1.0
1077	4	24	1	6	3	1.0
2057	4	24	2	6	3	1.0
3037	4	24	3	6	3	1.0
4017	4	24	4	6	3	1.0
817	33	31	0	6	6	1.0
1797	33	31	1	6	6	1.0
2777	33	31	2	6	6	1.0
3757	33	31	3	6	6	1.0
4737	33	31	4	6	6	1.0
5715	33	31	5	6	6	1.0
598	24	32	0	6	3	1.0
