ID	s	d	ts	te	m	LLC	ELC
----------------------------------------------------
214	7	11	0	1	25	1	0
98	7	10	1	3	25	2	0
291	7	11	1	2	25	1	0
90	7	10	3	28	500	25	0
37	7	10	4	7	50	3	0
190	7	11	4	6	50	2	0
124	7	10	5	10	100	5	0
7	7	11	6	9	100	3	0
225	7	10	8	10	25	2	0
26	7	10	11	12	10	1	0
161	7	10	12	15	50	3	0
10	7	10	13	15	25	2	0
241	7	10	14	17	50	3	0
79	7	11	15	17	50	2	0
257	7	10	18	19	1	1	0
220	7	11	21	24	100	3	0
196	1	9	10	22	1	12	0
129	1	9	8	22	1	14	0
2	3	10	17	22	1	5	0
279	3	11	18	22	1	4	0
60	2	11	16	22	1	6	0
192	3	11	2	22	1	20	0
104	2	11	1	22	1	21	0
234	1	9	10	23	10	13	0
230	2	10	3	24	10	21	0
275	3	10	4	24	10	20	0
148	2	10	12	24	10	12	0
208	3	10	12	24	10	12	0
112	3	11	11	23	10	12	0
280	2	11	9	23	10	14	0
290	3	11	10	25	25	15	0
244	3	10	0	27	25	27	0
209	3	10	8	27	25	19	0
199	3	10	12	27	25	15	0
286	7	11	25	27	50	2	0
155	3	11	4	27	50	23	0
137	3	11	7	27	50	20	0
299	2	11	8	27	50	19	0
207	7	10	26	31	100	5	0
153	7	11	26	29	100	3	0
283	3	10	11	30	50	19	0
57	1	9	8	30	50	22	0
143	7	10	28	53	500	25	0
152	7	10	28	31	50	3	0
185	1	9	25	29	10	4	0
177	2	10	11	34	100	23	0
8	3	10	3	34	100	31	0
56	2	10	0	34	100	34	0
292	7	11	32	33	1	1	0
264	7	10	35	37	25	2	0
219	7	10	36	37	1	1	0
195	7	10	38	43	100	5	0
50	7	11	39	40	1	1	0
277	7	11	41	42	25	1	0
77	7	10	43	48	100	5	0
125	7	10	43	44	1	1	0
282	7	10	44	47	50	3	0
89	7	10	45	46	10	1	0
217	7	11	45	48	100	3	0
258	7	10	50	51	1	1	0
31	7	11	50	51	10	1	0
81	7	10	51	54	50	3	0
250	7	10	51	52	1	1	0
24	7	11	51	52	10	1	0
127	7	10	52	53	1	1	0
252	7	10	52	57	100	5	0
17	7	11	52	53	25	1	0
27	7	11	52	55	100	3	0
96	7	11	52	53	1	1	0
46	7	11	53	54	10	1	0
63	7	11	54	55	25	1	0
180	7	10	55	60	100	5	0
211	7	11	55	56	1	1	0
83	7	10	57	58	10	1	0
173	7	10	58	59	10	1	0
108	7	10	59	64	100	5	0
256	7	11	60	61	10	1	0
58	3	11	38	62	1	24	0
200	3	11	46	62	1	16	0
174	1	9	48	63	1	15	0
6	1	9	44	63	1	19	0
115	3	10	58	64	10	6	0
120	3	10	56	64	10	8	0
169	2	10	51	64	10	13	0
134	2	10	50	64	10	14	0
23	2	10	47	64	10	17	0
263	3	10	44	64	10	20	0
239	2	10	42	64	10	22	0
162	2	10	41	64	10	23	0
80	2	10	56	63	1	7	0
113	3	10	50	63	1	13	0
43	2	10	49	63	1	14	0
170	3	10	41	63	1	22	0
122	2	10	34	63	1	29	0
276	2	11	26	65	50	39	0
284	2	11	4	87	500	83	0
205	2	11	32	65	50	33	0
106	2	11	6	87	500	81	0
151	3	11	31	67	100	36	0
243	3	11	33	67	100	34	0
224	2	11	34	63	10	29	0
150	2	11	34	64	25	30	0
136	3	11	36	63	10	27	0
156	3	11	37	65	50	28	0
154	2	11	38	64	25	26	0
270	2	11	39	64	25	25	0
5	2	11	39	63	10	24	0
222	3	11	39	63	10	24	0
72	2	11	39	67	100	28	0
266	2	11	43	63	10	20	0
121	2	11	44	65	50	21	0
203	3	11	44	63	10	19	0
146	2	11	49	64	25	15	0
39	3	11	51	63	10	12	0
41	3	10	54	66	25	12	0
13	3	10	51	66	25	15	0
12	3	10	40	66	25	26	0
178	3	10	39	66	25	27	0
15	2	10	35	66	25	31	0
102	3	10	34	66	25	32	0
68	3	10	33	66	25	33	0
281	3	10	39	68	50	29	0
157	2	10	38	68	50	30	0
204	3	10	36	68	50	32	0
118	2	10	35	68	50	33	0
69	3	10	33	68	50	35	0
288	3	10	27	68	50	41	0
238	2	10	42	72	100	30	0
99	2	10	36	72	100	36	0
228	3	11	27	73	25	46	0
33	3	10	27	75	25	48	0
135	2	10	7	90	500	83	0
88	3	10	11	90	500	79	0
179	3	10	6	90	500	84	0
229	2	11	27	83	1	56	0
261	3	10	33	97	500	64	0
116	1	9	27	90	50	63	0
298	1	9	30	90	50	60	0
231	1	9	38	89	25	51	0
9	7	9	38	90	50	52	0
61	7	9	39	89	25	50	0
289	1	9	41	90	50	49	0
132	1	9	39	112	500	73	0
278	1	9	38	92	100	54	0
260	1	9	37	112	500	75	0
237	1	9	25	112	500	87	0
160	1	9	44	92	100	48	0
182	1	9	47	89	25	42	0
114	1	9	51	89	25	38	0
221	1	9	55	90	50	35	0
183	1	9	59	92	100	33	0
59	1	9	60	89	25	29	0
171	2	11	24	116	50	92	0
166	2	11	20	118	100	98	0
218	3	11	15	118	100	103	0
