0	0	1	0	1	1	1.0
1	0	2	0	1	1	1.0
2	0	3	0	2	2	0.87
4	1	0	0	1	1	1.0
5	1	2	0	1	1	0.95
8	2	0	0	1	1	1.0
9	2	1	0	1	1	0.95
10	2	3	0	1	1	0.95
12	3	0	0	2	2	0.87
14	3	2	0	1	1	0.95
16	4	0	0	1	1	1.0
3	0	4	0	1	1	1.0
6	1	3	0	2	2	1.87
7	1	4	0	2	2	1.95
11	2	4	0	2	2	1.95
18	4	2	0	2	2	2.0
21	0	2	1	2	1	1.0
22	0	3	1	3	2	0.87
23	0	4	1	2	1	1.0
24	1	0	1	5	4	0.95
25	1	2	1	2	1	0.95
13	3	1	0	2	2	1.86
28	2	0	1	2	1	1.0
29	2	1	1	2	1	0.95
30	2	3	1	2	1	0.95
17	4	1	0	3	3	2.87
20	0	1	1	3	2	1.91
15	3	4	0	2	2	0.95
32	3	0	1	3	2	0.87
34	3	2	1	2	1	0.95
19	4	3	0	2	2	0.95
36	4	0	1	2	1	1.0
31	2	4	1	3	2	1.95
37	4	1	1	5	4	1.95
40	0	1	2	5	3	1.87
26	1	3	1	5	4	0.95
44	1	0	2	6	4	0.95
33	3	1	1	3	2	1.86
49	2	1	2	3	1	0.95
51	2	4	2	5	3	1.91
35	3	4	1	3	2	0.95
52	3	0	2	4	2	0.87
53	3	1	2	5	3	1.87
38	4	2	1	5	4	0.91
39	4	3	1	3	2	0.95
56	4	0	2	3	1	1.0
58	4	2	2	6	4	0.91
59	4	3	2	4	2	0.95
41	0	2	2	6	4	1.91
42	0	3	2	4	2	0.87
43	0	4	2	3	1	1.0
57	4	1	2	5	3	2.87
60	0	1	3	4	1	1.0
62	0	3	3	5	2	0.87
45	1	2	2	3	1	0.95
46	1	3	2	6	4	0.95
48	2	0	2	6	4	1.9
50	2	3	2	6	4	1.9
64	1	0	3	4	1	1.0
66	1	3	3	5	2	1.87
27	1	4	1	5	4	1.86
68	2	3	3	5	2	1.0
55	3	4	2	4	2	0.95
70	3	0	3	5	2	0.87
71	3	1	3	5	2	1.86
72	3	2	3	5	2	1.0
73	3	4	3	5	2	0.95
61	0	2	3	7	4	2.69
54	3	2	2	6	4	1.86
74	4	2	3	5	2	2.0
76	0	1	4	5	1	1.0
77	1	0	4	5	1	1.0
78	1	3	4	6	2	1.87
69	2	4	3	5	2	1.95
47	1	4	2	5	3	2.86
79	2	3	4	5	1	0.95
63	0	4	3	6	3	1.78
65	1	2	3	7	4	3.69
80	3	1	4	6	2	1.86
81	3	2	4	5	1	0.95
82	3	4	4	6	2	0.95
67	1	4	3	6	3	2.78
75	4	3	3	5	2	0.95
83	4	3	4	6	2	0.95
