2007-10-24,3027 X,3027 Y,3028 X,3028 Y,3029 X,3029 Y,3030 X,3030 Y,3031 X,3031 Y,3032 X,3032 Y,3033 X,3033 Y,3034 X,3034 Y,3035 X,3035 Y,3036 X,3036 Y,3037 X,3037 Y,3039 X,3039 Y,3040 X,3040 Y,3041 X,3041 Y,3103 X,3103 Y,3112 X,3112 Y,3115 X,3115 Y,3116 X,3116 Y,3117 X,3117 Y,3118 X,3118 Y,3119 X,3119 Y,3121 X,3121 Y,3122 X,3122 Y,3123 X,3123 Y,3201 X,3201 Y,3202 X,3202 Y,3203 X,3203 Y,3204 X,3204 Y,3211 X,3211 Y,3212 X,3212 Y
6:30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.39505,-72.52922,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.385582,-72.52203,-,-
6:31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.39339,-72.52604,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-1.8111362E22,-,-,-,-,-,-,-,-,-,-,-,-,42.38155,-72.519424,-,-
6:32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.389355,-72.52486,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-1.8111362E22,-,-,-,-,-,-,-,-,-,-,-,-,42.37635,-72.520004,-,-
6:33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.38618,-72.52246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-,42.372566,-72.51983,-,-
6:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.38277,-72.520546,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.3937,-72.53308,-,-,-,-,-,-,-,-,-,-,-,-,42.363804,-72.520805,-,-
6:35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.380882,-72.51935,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.393845,-72.53305,-,-,-,-,-,-,-,-,-,-,-,-,42.355007,-72.52087,-,-
6:36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.37694,-72.519905,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.393784,-72.533134,-,-,-,-,-,-,-,-,-,-,-,-,42.34512,-72.52056,-,-
6:37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.3759,-72.51442,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.39366,-72.53297,-,-,-,-,-,-,-,-,-,-,-,-,42.339546,-72.52051,-,-
6:38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.37584,-72.510796,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.393738,-72.533035,-,-,-,-,-,-,-,-,-,-,-,-,42.32993,-72.52412,-,-
6:39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.376545,-72.50026,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.39291,-72.53307,-,-,-,-,-,-,-,-,-,-,-,-,42.319485,-72.52655,-,-
