ID	s	d	ts	te	LLC	size	parent	replica
----------------------------------------------------
28	0	11	0	0	0	500		-1		0
28	0	11	0	0	0	500		-1		1
28	0	11	0	0	0	500		-1		2
28	0	11	0	0	0	500		-1		3
28	0	11	0	0	0	500		-1		4
74	0	11	0	0	0	750		-1		0
74	0	11	0	0	0	750		-1		1
74	0	11	0	0	0	750		-1		2
74	0	11	0	0	0	750		-1		3
74	0	11	0	0	0	750		-1		4
174	3	11	2	5	3	50		3		1
179	3	11	5	10	5	100		3		1
42	0	8	7	7	0	50		-1		4
125	0	10	9	9	0	500		-1		0
125	0	10	9	9	0	500		-1		1
125	0	10	9	9	0	500		-1		2
125	0	10	9	9	0	500		-1		3
125	0	10	9	9	0	500		-1		4
248	0	9	9	9	0	750		-1		0
248	0	9	9	9	0	750		-1		1
248	0	9	9	9	0	750		-1		2
248	0	9	9	9	0	750		-1		3
248	0	9	9	9	0	750		-1		4
73	0	10	10	10	0	500		-1		0
73	0	10	10	10	0	500		-1		1
73	0	10	10	10	0	500		-1		2
73	0	10	10	10	0	500		-1		3
73	0	10	10	10	0	500		-1		4
230	0	11	10	10	0	500		-1		0
230	0	11	10	10	0	500		-1		1
230	0	11	10	10	0	500		-1		2
230	0	11	10	10	0	500		-1		3
230	0	11	10	10	0	500		-1		4
71	0	8	11	11	0	500		-1		0
71	0	8	11	11	0	500		-1		1
71	0	8	11	11	0	500		-1		2
71	0	8	11	11	0	500		-1		3
71	0	8	11	11	0	500		-1		4
119	0	8	15	15	0	1		-1		4
299	0	10	16	16	0	750		-1		0
299	0	10	16	16	0	750		-1		1
299	0	10	16	16	0	750		-1		2
299	0	10	16	16	0	750		-1		3
299	0	10	16	16	0	750		-1		4
63	3	11	16	19	3	50		3		1
283	3	11	17	18	1	10		3		1
72	0	11	18	18	0	500		-1		0
72	0	11	18	18	0	500		-1		1
72	0	11	18	18	0	500		-1		2
72	0	11	18	18	0	500		-1		3
72	0	11	18	18	0	500		-1		4
92	0	8	20	20	0	50		-1		4
18	3	11	23	24	1	10		3		1
271	3	11	23	25	2	25		3		1
21	0	9	29	29	0	500		-1		0
21	0	9	29	29	0	500		-1		1
21	0	9	29	29	0	500		-1		2
21	0	9	29	29	0	500		-1		3
21	0	9	29	29	0	500		-1		4
44	3	11	29	31	2	25		3		1
133	0	11	30	30	0	1000		-1		0
133	0	11	30	30	0	1000		-1		1
133	0	11	30	30	0	1000		-1		2
133	0	11	30	30	0	1000		-1		3
133	0	11	30	30	0	1000		-1		4
37	0	8	34	34	0	100		-1		4
136	0	8	38	38	0	500		-1		0
136	0	8	38	38	0	500		-1		1
136	0	8	38	38	0	500		-1		2
136	0	8	38	38	0	500		-1		3
136	0	8	38	38	0	500		-1		4
246	0	8	38	38	0	50		-1		4
171	0	8	39	39	0	100		-1		4
95	0	8	40	40	0	500		-1		0
95	0	8	40	40	0	500		-1		1
95	0	8	40	40	0	500		-1		2
95	0	8	40	40	0	500		-1		3
95	0	8	40	40	0	500		-1		4
88	0	9	41	41	0	500		-1		0
88	0	9	41	41	0	500		-1		1
88	0	9	41	41	0	500		-1		2
88	0	9	41	41	0	500		-1		3
88	0	9	41	41	0	500		-1		4
108	0	8	41	41	0	50		-1		4
180	3	11	42	47	5	100		3		1
126	0	8	43	43	0	100		-1		4
183	0	11	47	47	0	500		-1		0
183	0	11	47	47	0	500		-1		1
183	0	11	47	47	0	500		-1		2
183	0	11	47	47	0	500		-1		3
183	0	11	47	47	0	500		-1		4
139	0	8	49	49	0	25		-1		4
182	0	8	50	50	0	25		-1		4
203	0	8	52	52	0	50		-1		4
236	0	8	53	53	0	50		-1		4
43	0	8	54	54	0	100		-1		4
55	0	8	54	54	0	50		-1		4
0	3	11	55	56	1	10		3		1
193	3	11	55	57	2	25		3		1
269	0	8	56	56	0	100		-1		4
89	0	9	57	57	0	500		-1		0
89	0	9	57	57	0	500		-1		1
89	0	9	57	57	0	500		-1		2
89	0	9	57	57	0	500		-1		3
89	0	9	57	57	0	500		-1		4
206	3	11	57	62	5	100		3		1
282	0	8	58	58	0	100		-1		4
101	3	11	60	61	1	10		3		1
25	1	9	1	1	0	750		-1		0
25	1	9	1	1	0	750		-1		1
25	1	9	1	1	0	750		-1		2
25	1	9	1	1	0	750		-1		3
25	1	9	1	1	0	750		-1		4
170	1	11	5	5	0	750		-1		0
170	1	11	5	5	0	750		-1		1
170	1	11	5	5	0	750		-1		2
170	1	11	5	5	0	750		-1		3
170	1	11	5	5	0	750		-1		4
102	1	8	10	10	0	500		-1		0
102	1	8	10	10	0	500		-1		1
102	1	8	10	10	0	500		-1		2
102	1	8	10	10	0	500		-1		3
102	1	8	10	10	0	500		-1		4
176	4	10	5	13	8	100		2		0
220	1	11	11	11	0	500		-1		0
220	1	11	11	11	0	500		-1		1
220	1	11	11	11	0	500		-1		2
220	1	11	11	11	0	500		-1		3
220	1	11	11	11	0	500		-1		4
45	1	10	12	12	0	750		-1		0
45	1	10	12	12	0	750		-1		1
45	1	10	12	12	0	750		-1		2
45	1	10	12	12	0	750		-1		3
45	1	10	12	12	0	750		-1		4
211	1	10	12	12	0	25		-1		4
241	1	9	12	12	0	100		-1		4
91	2	10	13	16	3	100		2		1
98	4	9	14	19	5	50		2		0
225	4	10	15	20	5	50		2		0
59	2	10	18	19	1	10		2		1
187	1	9	19	19	0	500		-1		0
187	1	9	19	19	0	500		-1		1
187	1	9	19	19	0	500		-1		2
187	1	9	19	19	0	500		-1		3
187	1	9	19	19	0	500		-1		4
61	2	9	19	20	1	10		2		1
