#t	PDR	Latency	Energy
5	0.033268101761252444	2.1470588235294117	1.1088235294117645
10	0.07142857142857142	2.712328767123288	1.397534246575342
15	0.12524461839530332	3.40625	1.749687500000001
30	0.3131115459882583	4.88125	2.490249999999994
45	0.4383561643835616	4.734375	2.4167410714285604
60	0.6174168297455969	4.4849445324881145	2.2909350237717714
75	0.776908023483366	5.011335012594459	2.5551385390427996
90	0.8561643835616438	5.027428571428572	2.563177142857119
