ID	s	d	ts	te	LLC	size	parent	parentTime	replica
----------------------------------------------------
57	1	9	0	3	3	100	1	3	0
62	3	11	0	13	13	500	3	13	0
37	0	8	1	1	0	25	-1	-1	-1
214	3	11	1	3	2	50	3	3	0
292	3	11	1	4	3	100	3	4	0
104	0	8	2	2	0	10	-1	-1	-1
156	0	8	2	2	0	50	-1	-1	-1
81	1	9	2	3	1	10	1	3	0
194	1	9	2	15	13	500	1	15	0
242	3	11	2	4	2	50	3	4	0
233	1	9	3	6	3	100	1	6	0
75	0	8	4	4	0	1	-1	-1	-1
147	1	9	4	5	1	1	1	5	0
137	3	11	4	17	13	500	3	17	0
190	0	8	6	6	0	100	-1	-1	-1
261	0	8	6	6	0	50	-1	-1	-1
110	1	9	6	7	1	25	1	7	0
268	1	9	6	19	13	500	1	19	0
82	3	10	6	9	3	100	3	9	0
154	3	10	6	7	1	10	3	7	0
211	3	11	6	9	3	100	3	9	0
171	0	8	8	8	0	10	-1	-1	-1
175	1	9	8	9	1	10	1	9	0
256	3	11	8	9	1	1	3	9	0
265	1	9	9	10	1	10	1	10	0
107	3	11	9	22	13	500	3	22	0
111	3	11	9	10	1	25	3	10	0
170	3	11	9	10	1	1	3	10	0
199	1	9	10	11	1	25	1	11	0
179	3	10	10	11	1	25	3	11	0
196	0	8	11	11	0	1	-1	-1	-1
237	0	8	11	11	0	25	-1	-1	-1
58	1	9	11	12	1	1	1	12	0
22	3	10	12	14	2	50	3	14	0
168	0	8	13	13	0	10	-1	-1	-1
284	1	9	13	14	1	10	1	14	0
8	3	11	13	16	3	100	3	16	0
181	3	11	13	15	2	50	3	15	0
98	0	8	14	14	0	1	-1	-1	-1
192	1	9	14	27	13	500	1	27	0
152	3	10	15	17	2	50	3	17	0
198	3	11	15	16	1	1	3	16	0
286	0	8	16	16	0	50	-1	-1	-1
299	0	8	17	17	0	1	-1	-1	-1
47	3	11	17	18	1	1	3	18	0
99	0	8	18	18	0	500	-1	-1	-1
6	1	9	18	19	1	25	1	19	0
189	1	9	18	31	13	500	1	31	0
262	0	8	20	20	0	100	-1	-1	-1
27	3	11	20	21	1	1	3	21	0
31	3	10	20	21	1	1	3	21	0
273	3	11	20	33	13	500	3	33	0
26	0	8	21	21	0	10	-1	-1	-1
205	0	8	22	22	0	100	-1	-1	-1
55	3	11	22	23	1	25	3	23	0
131	3	11	22	24	2	50	3	24	0
32	0	8	24	24	0	25	-1	-1	-1
11	1	9	24	25	1	10	1	25	0
166	1	9	24	25	1	1	1	25	0
263	0	8	26	26	0	500	-1	-1	-1
150	3	10	27	30	3	100	3	30	0
76	1	9	29	30	1	10	1	30	0
280	3	10	29	30	1	1	3	30	0
282	3	11	29	32	3	100	3	32	0
103	3	11	30	31	1	25	3	31	0
155	3	11	30	33	3	100	3	33	0
243	1	9	31	44	13	500	1	44	0
235	0	8	32	32	0	25	-1	-1	-1
56	3	11	32	34	2	50	3	34	0
232	3	11	32	33	1	25	3	33	0
84	3	10	33	34	1	10	3	34	0
230	3	11	33	34	1	10	3	34	0
240	3	11	33	46	13	500	3	46	0
52	3	11	34	35	1	1	3	35	0
253	0	8	35	35	0	50	-1	-1	-1
122	0	8	36	36	0	10	-1	-1	-1
241	3	10	36	38	2	50	3	38	0
298	3	11	36	49	13	500	3	49	0
25	1	9	37	40	3	100	1	40	0
88	3	11	37	38	1	1	3	38	0
291	3	10	37	40	3	100	3	40	0
108	0	8	38	38	0	10	-1	-1	-1
128	0	8	38	38	0	1	-1	-1	-1
165	0	8	38	38	0	50	-1	-1	-1
77	0	8	39	39	0	10	-1	-1	-1
201	1	9	40	53	13	500	1	53	0
210	3	10	41	44	3	100	3	44	0
247	0	8	42	42	0	1	-1	-1	-1
174	1	9	42	44	2	50	1	44	0
28	3	10	42	43	1	10	3	43	0
167	3	11	42	43	1	10	3	43	0
204	3	11	42	43	1	25	3	43	0
129	3	10	43	46	3	100	3	46	0
227	1	9	44	45	1	10	1	45	0
49	3	11	44	46	2	50	3	46	0
206	0	8	46	46	0	1	-1	-1	-1
72	3	11	46	48	2	50	3	48	0
112	0	8	47	47	0	50	-1	-1	-1
100	0	8	48	48	0	500	-1	-1	-1
250	0	8	49	49	0	100	-1	-1	-1
222	3	10	49	50	1	10	3	50	0
119	0	8	50	50	0	50	-1	-1	-1
33	1	9	50	51	1	10	1	51	0
3	3	10	50	51	1	10	3	51	0
95	3	10	50	52	2	50	3	52	0
259	3	10	50	51	1	25	3	51	0
182	0	8	52	52	0	1	-1	-1	-1
105	0	8	53	53	0	500	-1	-1	-1
228	0	8	53	53	0	1	-1	-1	-1
61	1	9	53	56	3	100	1	56	0
96	3	10	53	56	3	100	3	56	0
248	1	9	54	57	3	100	1	57	0
200	3	10	54	55	1	1	3	55	0
102	1	9	55	58	3	100	1	58	0
140	1	9	55	56	1	1	1	56	0
134	3	10	55	58	3	100	3	58	0
142	3	10	55	56	1	1	3	56	0
85	1	9	56	57	1	25	1	57	0
244	1	9	56	57	1	25	1	57	0
288	1	9	57	70	13	500	1	70	0
184	0	8	58	58	0	50	-1	-1	-1
18	1	9	58	59	1	25	1	59	0
13	3	10	58	61	3	100	3	61	0
68	3	11	58	59	1	1	3	59	0
208	3	11	58	59	1	25	3	59	0
123	3	11	59	62	3	100	3	62	0
234	0	8	60	60	0	100	-1	-1	-1
53	1	9	60	62	2	50	1	62	0
20	3	11	60	63	3	100	3	63	0
283	3	11	60	61	1	10	3	61	0
57	1	9	0	0	0	100	-1	-1	-1
62	3	11	0	13	13	500	3	13	1
37	0	8	1	2	1	25	0	2	0
214	3	11	1	3	2	50	3	3	1
292	3	11	1	4	3	100	3	4	1
81	1	9	2	2	0	10	-1	-1	-1
194	1	9	2	2	0	500	-1	-1	-1
104	0	8	2	3	1	10	0	3	0
156	0	8	2	4	2	50	0	4	0
242	3	11	2	4	2	50	3	4	1
233	1	9	3	3	0	100	-1	-1	-1
147	1	9	4	4	0	1	-1	-1	-1
75	0	8	4	5	1	1	0	5	0
137	3	11	4	17	13	500	3	17	1
110	1	9	6	6	0	25	-1	-1	-1
268	1	9	6	6	0	500	-1	-1	-1
190	0	8	6	9	3	100	0	9	0
261	0	8	6	8	2	50	0	8	0
82	3	10	6	9	3	100	3	9	1
154	3	10	6	7	1	10	3	7	1
211	3	11	6	9	3	100	3	9	1
175	1	9	8	8	0	10	-1	-1	-1
171	0	8	8	9	1	10	0	9	0
256	3	11	8	9	1	1	3	9	1
265	1	9	9	9	0	10	-1	-1	-1
107	3	11	9	22	13	500	3	22	1
111	3	11	9	10	1	25	3	10	1
170	3	11	9	10	1	1	3	10	1
199	1	9	10	10	0	25	-1	-1	-1
179	3	10	10	11	1	25	3	11	1
58	1	9	11	11	0	1	-1	-1	-1
196	0	8	11	12	1	1	0	12	0
237	0	8	11	12	1	25	0	12	0
22	3	10	12	14	2	50	3	14	1
284	1	9	13	13	0	10	-1	-1	-1
168	0	8	13	14	1	10	0	14	0
8	3	11	13	16	3	100	3	16	1
181	3	11	13	15	2	50	3	15	1
192	1	9	14	14	0	500	-1	-1	-1
98	0	8	14	15	1	1	0	15	0
152	3	10	15	17	2	50	3	17	1
198	3	11	15	16	1	1	3	16	1
286	0	8	16	18	2	50	0	18	0
299	0	8	17	18	1	1	0	18	0
47	3	11	17	18	1	1	3	18	1
6	1	9	18	18	0	25	-1	-1	-1
189	1	9	18	18	0	500	-1	-1	-1
99	0	8	18	31	13	500	0	31	0
262	0	8	20	23	3	100	0	23	0
27	3	11	20	21	1	1	3	21	1
31	3	10	20	21	1	1	3	21	1
273	3	11	20	33	13	500	3	33	1
26	0	8	21	22	1	10	0	22	0
205	0	8	22	25	3	100	0	25	0
55	3	11	22	23	1	25	3	23	1
131	3	11	22	24	2	50	3	24	1
11	1	9	24	24	0	10	-1	-1	-1
166	1	9	24	24	0	1	-1	-1	-1
32	0	8	24	25	1	25	0	25	0
263	0	8	26	39	13	500	0	39	0
150	3	10	27	30	3	100	3	30	1
76	1	9	29	29	0	10	-1	-1	-1
280	3	10	29	30	1	1	3	30	1
282	3	11	29	32	3	100	3	32	1
103	3	11	30	31	1	25	3	31	1
155	3	11	30	33	3	100	3	33	1
243	1	9	31	31	0	500	-1	-1	-1
235	0	8	32	33	1	25	0	33	0
56	3	11	32	34	2	50	3	34	1
232	3	11	32	33	1	25	3	33	1
84	3	10	33	34	1	10	3	34	1
230	3	11	33	34	1	10	3	34	1
240	3	11	33	46	13	500	3	46	1
52	3	11	34	35	1	1	3	35	1
253	0	8	35	37	2	50	0	37	0
122	0	8	36	37	1	10	0	37	0
241	3	10	36	38	2	50	3	38	1
298	3	11	36	49	13	500	3	49	1
25	1	9	37	37	0	100	-1	-1	-1
88	3	11	37	38	1	1	3	38	1
291	3	10	37	40	3	100	3	40	1
108	0	8	38	39	1	10	0	39	0
128	0	8	38	39	1	1	0	39	0
165	0	8	38	40	2	50	0	40	0
77	0	8	39	40	1	10	0	40	0
201	1	9	40	40	0	500	-1	-1	-1
210	3	10	41	44	3	100	3	44	1
174	1	9	42	42	0	50	-1	-1	-1
247	0	8	42	43	1	1	0	43	0
28	3	10	42	43	1	10	3	43	1
167	3	11	42	43	1	10	3	43	1
204	3	11	42	43	1	25	3	43	1
129	3	10	43	46	3	100	3	46	1
227	1	9	44	44	0	10	-1	-1	-1
49	3	11	44	46	2	50	3	46	1
206	0	8	46	47	1	1	0	47	0
72	3	11	46	48	2	50	3	48	1
112	0	8	47	49	2	50	0	49	0
100	0	8	48	61	13	500	0	61	0
250	0	8	49	52	3	100	0	52	0
222	3	10	49	50	1	10	3	50	1
33	1	9	50	50	0	10	-1	-1	-1
119	0	8	50	52	2	50	0	52	0
