ID	s	d	ts	te	LLC	size	parent	parentTime	replica
----------------------------------------------------
221	2	11	11	43	32	500		2		43			0	0	0	1	0
209	2	11	18	19	1	10		2		19			2	0	0	1	0
179	3	10	10	20	10	25		0		20			0	0	0	1	1
82	3	10	6	24	18	100		0		24			0	0	0	1	1
22	3	10	12	22	10	50		0		22			0	0	0	1	1
0	2	11	9	17	8	10		2		17			0	0	0	1	0
67	2	11	2	19	17	10		2		19			0	0	0	1	0
41	2	11	16	21	5	50		2		21			0	0	0	1	0
212	2	11	0	22	22	50		2		22			0	0	0	1	0
290	2	11	10	24	14	100		2		24			0	0	0	1	0
231	2	11	15	44	29	500		2		44			0	0	0	1	0
152	3	10	15	21	6	50		0		21			0	0	0	1	1
154	3	10	6	20	14	10		0		20			0	0	0	2	0
179	3	10	10	22	12	25		0		22			0	0	0	1	1
31	3	10	20	21	1	1		3		21			2	1	0	0	0
294	2	11	4	18	14	1		2		18			0	1	0	0	0
275	2	11	3	20	17	1		2		20			0	1	0	0	0
209	2	11	18	20	2	10		2		20			0	0	0	1	0
67	2	11	2	21	19	10		2		21			0	0	0	1	0
290	2	11	10	25	15	100		2		25			0	0	0	1	0
41	2	11	16	23	7	50		2		23			0	0	0	1	0
82	3	10	6	25	19	100		0		25			0	0	0	1	1
154	3	10	6	22	16	10		0		22			0	0	0	2	0
152	3	10	15	24	9	50		0		24			0	0	0	1	1
264	2	11	6	19	13	10		2		19			0	0	0	1	0
221	2	11	11	44	33	500		2		44			0	0	0	1	0
0	2	11	9	21	12	10		2		21			0	0	0	1	0
67	2	11	2	22	20	10		2		22			0	0	0	1	0
294	2	11	4	22	18	1		2		22			0	1	0	0	0
41	2	11	16	24	8	50		2		24			0	0	0	1	0
22	3	10	12	23	11	50		0		23			0	0	0	1	1
179	3	10	10	23	13	25		0		23			0	0	0	1	1
82	3	10	6	27	21	100		0		27			0	0	0	1	1
152	3	10	15	25	10	50		0		25			0	0	0	1	1
212	2	11	0	23	23	50		2		23			0	0	0	1	0
275	2	11	3	22	19	1		2		22			0	1	0	0	0
209	2	11	18	22	4	10		2		22			0	0	0	1	0
67	2	11	2	23	21	10		2		23			0	0	0	1	0
264	2	11	6	23	17	10		2		23			0	0	0	1	0
221	2	11	11	47	36	500		2		47			0	0	0	1	0
31	3	10	20	22	2	1		0		22			0	2	0	0	0
154	3	10	6	23	17	10		0		23			0	0	0	2	0
82	3	10	6	28	22	100		0		28			0	0	0	1	1
22	3	10	12	26	14	50		0		26			0	0	0	1	1
231	2	11	15	45	30	500		2		45			0	0	0	1	0
290	2	11	10	26	16	100		2		26			0	0	0	1	0
294	2	11	4	23	19	1		2		23			0	1	0	0	0
41	2	11	16	25	9	50		2		25			0	0	0	1	0
67	2	11	2	24	22	10		2		24			0	0	0	1	0
264	2	11	6	24	18	10		2		24			0	0	0	1	0
209	2	11	18	24	6	10		2		24			0	0	0	1	0
179	3	10	10	25	15	25		0		25			0	0	0	1	1
82	3	10	6	29	23	100		0		29			0	0	0	1	1
22	3	10	12	27	15	50		0		27			0	0	0	1	1
0	2	11	9	23	14	10		2		23			0	0	0	1	0
275	2	11	3	24	21	1		2		24			0	1	0	0	0
67	2	11	2	25	23	10		2		25			0	0	0	1	0
264	2	11	6	25	19	10		2		25			0	0	0	1	0
231	2	11	15	49	34	500		2		49			0	0	0	1	0
209	2	11	18	25	7	10		2		25			0	0	0	1	0
158	2	11	24	27	3	50		2		27			2	0	0	1	0
152	3	10	15	26	11	50		0		26			0	0	0	1	1
31	3	10	20	25	5	1		0		25			0	2	0	0	0
82	3	10	6	30	24	100		0		30			0	0	0	1	1
22	3	10	12	28	16	50		0		28			0	0	0	1	1
212	2	11	0	26	26	50		2		26			0	0	0	1	0
294	2	11	4	25	21	1		2		25			0	1	0	0	0
41	2	11	16	27	11	50		2		27			0	0	0	1	0
67	2	11	2	26	24	10		2		26			0	0	0	1	0
264	2	11	6	26	20	10		2		26			0	0	0	1	0
231	2	11	15	50	35	500		2		50			0	0	0	1	0
158	2	11	24	28	4	50		2		28			0	0	0	1	0
154	3	10	6	25	19	10		0		25			0	0	0	2	0
179	3	10	10	27	17	25		0		27			0	0	0	1	1
22	3	10	12	29	17	50		0		29			0	0	0	1	1
31	3	10	20	27	7	1		0		27			0	2	0	0	0
221	2	11	11	48	37	500		2		48			0	0	0	1	0
74	2	11	24	26	2	25		2		26			2	0	0	1	0
0	2	11	9	26	17	10		2		26			0	0	0	1	0
212	2	11	0	29	29	50		2		29			0	0	0	1	0
294	2	11	4	27	23	1		2		27			0	1	0	0	0
231	2	11	15	51	36	500		2		51			0	0	0	1	0
158	2	11	24	29	5	50		2		29			0	0	0	1	0
82	3	10	6	31	25	100		0		31			0	0	0	1	1
154	3	10	6	28	22	10		0		28			0	0	0	2	0
22	3	10	12	30	18	50		0		30			0	0	0	1	1
150	3	10	27	30	3	100		3		30			2	0	0	0	1
290	2	11	10	29	19	100		2		29			0	0	0	1	0
209	2	11	18	26	8	10		2		26			0	0	0	1	0
67	2	11	2	27	25	10		2		27			0	0	0	1	0
41	2	11	16	29	13	50		2		29			0	0	0	1	0
212	2	11	0	30	30	50		2		30			0	0	0	1	0
0	2	11	9	28	19	10		2		28			0	0	0	1	0
231	2	11	15	52	37	500		2		52			0	0	0	1	0
158	2	11	24	30	6	50		2		30			0	0	0	1	0
152	3	10	15	29	14	50		0		29			0	0	0	1	1
179	3	10	10	29	19	25		0		29			0	0	0	1	1
82	3	10	6	33	27	100		0		33			0	0	0	1	1
22	3	10	12	31	19	50		0		31			0	0	0	1	1
275	2	11	3	26	23	1		2		26			0	1	0	0	0
264	2	11	6	27	21	10		2		27			0	0	0	1	0
294	2	11	4	28	24	1		2		28			0	1	0	0	0
74	2	11	24	29	5	25		2		29			0	0	0	1	0
67	2	11	2	29	27	10		2		29			0	0	0	1	0
290	2	11	10	33	23	100		2		33			0	0	0	1	0
41	2	11	16	31	15	50		2		31			0	0	0	1	0
158	2	11	24	31	7	50		2		31			0	0	0	1	0
31	3	10	20	28	8	1		0		28			0	2	0	0	0
150	3	10	27	31	4	100		3		31			0	0	0	0	1
179	3	10	10	31	21	25		0		31			0	0	0	1	1
152	3	10	15	32	17	50		0		32			0	0	0	1	1
280	3	10	29	30	1	1		3		30			2	1	0	0	0
221	2	11	11	52	41	500		2		52			0	0	0	1	0
0	2	11	9	29	20	10		2		29			0	0	0	1	0
209	2	11	18	29	11	10		2		29			0	0	0	1	0
275	2	11	3	30	27	1		2		30			0	1	0	0	0
264	2	11	6	30	24	10		2		30			0	0	0	1	0
41	2	11	16	32	16	50		2		32			0	0	0	1	0
158	2	11	24	32	8	50		2		32			0	0	0	1	0
154	3	10	6	29	23	10		0		29			0	0	0	2	0
22	3	10	12	32	20	50		0		32			0	0	0	1	1
179	3	10	10	32	22	25		0		32			0	0	0	1	1
31	3	10	20	31	11	1		0		31			0	2	0	0	0
280	3	10	29	31	2	1		0		31			0	2	0	0	0
212	2	11	0	31	31	50		2		31			0	0	0	1	0
67	2	11	2	30	28	10		2		30			0	0	0	1	0
290	2	11	10	34	24	100		2		34			0	0	0	1	0
275	2	11	3	31	28	1		2		31			0	1	0	0	0
0	2	11	9	31	22	10		2		31			0	0	0	1	0
41	2	11	16	33	17	50		2		33			0	0	0	1	0
158	2	11	24	33	9	50		2		33			0	0	0	1	0
125	2	11	30	31	1	1		2		31			2	1	0	0	0
82	3	10	6	34	28	100		0		34			0	0	0	1	1
152	3	10	15	33	18	50		0		33			0	0	0	1	1
154	3	10	6	32	26	10		0		32			0	0	0	2	0
22	3	10	12	34	22	50		0		34			0	0	0	1	1
280	3	10	29	32	3	1		0		32			0	2	0	0	0
231	2	11	15	53	38	500		2		53			0	0	0	1	0
74	2	11	24	31	7	25		2		31			0	0	0	1	0
221	2	11	11	55	44	500		2		55			0	0	0	1	0
121	2	11	30	31	1	10		2		31			2	0	0	1	0
67	2	11	2	32	30	10		2		32			0	0	0	1	0
0	2	11	9	32	23	10		2		32			0	0	0	1	0
41	2	11	16	34	18	50		2		34			0	0	0	1	0
125	2	11	30	32	2	1		2		32			0	1	0	0	0
150	3	10	27	35	8	100		0		35			0	0	0	1	1
179	3	10	10	33	23	25		0		33			0	0	0	1	1
82	3	10	6	37	31	100		0		37			0	0	0	1	1
22	3	10	12	35	23	50		0		35			0	0	0	1	1
280	3	10	29	33	4	1		0		33			0	2	0	0	0
294	2	11	4	30	26	1		2		30			0	1	0	0	0
209	2	11	18	31	13	10		2		31			0	0	0	1	0
275	2	11	3	32	29	1		2		32			0	1	0	0	0
158	2	11	24	34	10	50		2		34			0	0	0	1	0
67	2	11	2	33	31	10		2		33			0	0	0	1	0
221	2	11	11	57	46	500		2		57			0	0	0	1	0
41	2	11	16	35	19	50		2		35			0	0	0	1	0
121	2	11	30	33	3	10		2		33			0	0	0	1	0
31	3	10	20	32	12	1		0		32			0	2	0	0	0
154	3	10	6	33	27	10		0		33			0	0	0	2	0
82	3	10	6	38	32	100		0		38			0	0	0	1	1
22	3	10	12	36	24	50		0		36			0	0	0	1	1
280	3	10	29	34	5	1		0		34			0	2	0	0	0
264	2	11	6	31	25	10		2		31			0	0	0	1	0
290	2	11	10	36	26	100		2		36			0	0	0	1	0
0	2	11	9	33	24	10		2		33			0	0	0	1	0
74	2	11	24	34	10	25		2		34			0	0	0	1	0
67	2	11	2	34	32	10		2		34			0	0	0	1	0
294	2	11	4	34	30	1		2		34			0	1	0	0	0
41	2	11	16	36	20	50		2		36			0	0	0	1	0
158	2	11	24	36	12	50		2		36			0	0	0	1	0
87	2	11	33	35	2	25		2		35			2	0	0	1	0
152	3	10	15	35	20	50		0		35			0	0	0	1	1
179	3	10	10	35	25	25		0		35			0	0	0	1	1
84	3	10	33	34	1	10		3		34			2	0	0	1	0
82	3	10	6	39	33	100		0		39			0	0	0	1	1
22	3	10	12	37	25	50		0		37			0	0	0	1	1
280	3	10	29	35	6	1		0		35			0	2	0	0	0
212	2	11	0	34	34	50		2		34			0	0	0	1	0
231	2	11	15	57	42	500		2		57			0	0	0	1	0
275	2	11	3	34	31	1		2		34			0	1	0	0	0
209	2	11	18	34	16	10		2		34			0	0	0	1	0
120	2	11	33	34	1	1		2		34			2	1	0	0	0
67	2	11	2	35	33	10		2		35			0	0	0	1	0
264	2	11	6	35	29	10		2		35			0	0	0	1	0
