ID	s	d	ts	te	LLC	ELC
941	1	11	5	5	5	0.43
152	32	11	0	5	5	0.43
340	32	11	1	5	5	0.43
528	32	11	2	5	5	0.43
716	32	11	3	5	5	0.43
904	32	11	4	5	5	0.43
983	9	12	5	5	5	0.5
979	8	12	5	5	5	0.41
975	7	12	5	5	5	0.44
952	3	12	5	5	5	0.34
755	1	17	4	5	7	1.22
567	1	17	3	5	7	1.28
379	1	17	2	5	7	1.28
191	1	17	1	5	7	1.28
3	1	17	0	5	7	1.28
996	11	32	5	5	5	0.43
960	4	32	5	5	5	0.4
947	1	32	5	5	1	0.45
1090	32	1	5	6	1	0.45
989	11	1	5	6	5	0.43
998	12	3	5	6	5	0.34
980	9	3	5	6	1	0.43
976	8	3	5	6	1	0.45
972	7	3	5	6	1	0.43
1091	32	4	5	6	5	0.4
990	11	4	5	6	5	0.43
940	1	4	5	6	6	0.79
967	6	5	5	6	1	0.45
1150	5	6	6	6	1	0.45
1137	3	7	6	6	1	0.43
999	12	7	5	6	5	0.44
981	9	7	5	6	1	0.43
977	8	7	5	6	1	0.45
1161	7	8	6	6	1	0.45
1138	3	8	6	6	1	0.45
1000	12	8	5	6	5	0.41
982	9	8	5	6	1	0.45
1166	8	9	6	6	1	0.45
1162	7	9	6	6	1	0.43
1139	3	9	6	6	1	0.43
1001	12	9	5	6	5	0.5
28	6	10	0	6	7	0.36
216	6	10	1	6	7	0.36
404	6	10	2	6	7	0.36
592	6	10	3	6	7	0.36
780	6	10	4	6	7	0.36
968	6	10	5	6	7	0.36
1156	6	10	6	6	7	0.36
23	5	10	0	6	7	0.36
211	5	10	1	6	7	0.36
399	5	10	2	6	7	0.36
587	5	10	3	6	7	0.36
775	5	10	4	6	7	0.36
963	5	10	5	6	7	0.36
1151	5	10	6	6	7	0.36
1142	4	11	6	6	5	0.43
1092	32	11	5	6	5	0.43
1171	9	12	6	6	5	0.5
1167	8	12	6	6	5	0.41
1163	7	12	6	6	5	0.44
1140	3	12	6	6	5	0.34
16	4	17	0	6	7	0.43
204	4	17	1	6	7	0.43
392	4	17	2	6	7	0.43
580	4	17	3	6	7	0.43
768	4	17	4	6	7	0.43
804	11	17	4	6	7	0.86
616	11	17	3	6	7	0.86
428	11	17	2	6	7	0.86
240	11	17	1	6	7	0.86
52	11	17	0	6	7	0.86
906	32	17	4	6	7	0.83
718	32	17	3	6	7	0.83
530	32	17	2	6	7	0.83
342	32	17	1	6	7	0.83
154	32	17	0	6	7	0.83
956	4	17	5	6	7	0.43
943	1	17	5	6	7	1.22
992	11	17	5	6	7	0.86
1094	32	17	5	6	7	0.83
1144	4	17	6	6	7	0.43
30	6	22	0	6	7	0.37
218	6	22	1	6	7	0.37
406	6	22	2	6	7	0.37
594	6	22	3	6	7	0.37
782	6	22	4	6	7	0.37
970	6	22	5	6	7	0.37
1158	6	22	6	6	7	0.37
25	5	22	0	6	7	0.37
213	5	22	1	6	7	0.37
401	5	22	2	6	7	0.37
589	5	22	3	6	7	0.37
777	5	22	4	6	7	0.37
965	5	22	5	6	7	0.37
1153	5	22	6	6	7	0.37
1184	11	32	6	6	5	0.43
1148	4	32	6	6	5	0.4
1135	1	32	6	6	1	0.45
87	19	35	0	6	7	0.44
275	19	35	1	6	7	0.44
463	19	35	2	6	7	0.44
651	19	35	3	6	7	0.44
839	19	35	4	6	7	0.44
1027	19	35	5	6	7	0.44
1215	19	35	6	6	7	0.44
1278	32	1	6	7	1	0.45
1186	12	3	6	7	5	0.34
1168	9	3	6	7	1	0.43
1164	8	3	6	7	1	0.45
1160	7	3	6	7	1	0.43
