ID	s	d	ts	te	LLC	ELC
1365	5	6	5	5	1	0.2
1346	3	7	5	5	1	0.25
1108	9	7	4	5	1	0.2
1105	8	7	4	5	1	0.2
1368	7	8	5	5	1	0.2
1347	3	8	5	5	1	0.25
1109	9	8	4	5	1	0.2
1372	8	9	5	5	1	0.2
1369	7	9	5	5	1	0.2
1348	3	9	5	5	1	0.25
24	4	17	0	5	6	0.19
290	4	17	1	5	6	0.19
556	4	17	2	5	6	0.19
822	4	17	3	5	6	0.19
1088	4	17	4	5	6	0.19
1354	4	17	5	5	6	0.19
5	1	17	0	5	6	0.2
271	1	17	1	5	6	0.2
537	1	17	2	5	6	0.2
632	15	17	2	5	6	0.45
366	15	17	1	5	6	0.45
100	15	17	0	5	6	0.45
803	1	17	3	5	6	0.2
898	15	17	3	5	6	0.45
1069	1	17	4	5	6	0.2
1164	15	17	4	5	6	0.45
1335	1	17	5	5	6	0.2
117	17	19	0	5	6	0.19
383	17	19	1	5	6	0.19
649	17	19	2	5	6	0.19
915	17	19	3	5	6	0.19
1181	17	19	4	5	6	0.19
1447	17	19	5	5	6	0.19
1336	1	19	5	5	7	0.39
1165	15	19	4	5	7	0.64
1070	1	19	4	5	7	0.39
804	1	19	3	5	7	0.39
1355	4	19	5	5	4	0.19
1214	20	19	4	5	4	0.23
1464	19	20	5	5	4	0.23
118	17	20	0	5	6	0.24
384	17	20	1	5	6	0.24
650	17	20	2	5	6	0.24
916	17	20	3	5	6	0.24
1182	17	20	4	5	6	0.24
1448	17	20	5	5	6	0.24
1337	1	20	5	5	7	0.4
1166	15	20	4	5	7	0.65
1071	1	20	4	5	7	0.4
805	1	20	3	5	7	0.4
1356	4	20	5	5	3	0.19
54	10	21	0	5	6	0.19
320	10	21	1	5	6	0.19
586	10	21	2	5	6	0.19
852	10	21	3	5	6	0.19
1118	10	21	4	5	6	0.19
1384	10	21	5	5	6	0.19
1323	39	21	4	5	1	0.23
1290	36	21	4	5	3	0.23
1262	33	24	4	5	3	0.18
1522	24	33	5	5	3	0.18
1502	21	36	5	5	3	0.23
140	19	36	0	5	6	0.19
406	19	36	1	5	6	0.19
672	19	36	2	5	6	0.19
938	19	36	3	5	6	0.19
830	4	36	3	5	6	0.38
564	4	36	2	5	6	0.38
298	4	36	1	5	6	0.38
32	4	36	0	5	6	0.38
906	15	36	3	5	6	0.44
13	1	36	0	5	6	0.69
279	1	36	1	5	6	0.69
545	1	36	2	5	6	0.69
640	15	36	2	5	6	0.44
374	15	36	1	5	6	0.44
108	15	36	0	5	6	0.44
954	20	36	3	5	6	0.42
688	20	36	2	5	6	0.42
422	20	36	1	5	6	0.42
156	20	36	0	5	6	0.42
1204	19	36	4	5	6	0.19
1096	4	36	4	5	6	0.38
1220	20	36	4	5	6	0.42
1470	19	36	5	5	6	0.19
1362	4	36	5	5	6	0.38
811	1	36	3	5	8	0.64
1077	1	36	4	5	8	0.64
1172	15	36	4	5	8	0.89
1343	1	36	5	5	8	0.64
1454	17	36	5	5	7	0.38
1188	17	36	4	5	7	0.38
922	17	36	3	5	7	0.38
656	17	36	2	5	7	0.38
390	17	36	1	5	7	0.38
124	17	36	0	5	7	0.38
59	10	36	0	5	6	0.19
325	10	36	1	5	6	0.19
591	10	36	2	5	6	0.19
857	10	36	3	5	6	0.19
1123	10	36	4	5	6	0.19
1389	10	36	5	5	6	0.19
1328	39	36	4	5	3	0.2
196	30	38	0	5	6	0.21
462	30	38	1	5	6	0.21
728	30	38	2	5	6	0.21
994	30	38	3	5	6	0.21
1260	30	38	4	5	6	0.21
1526	30	38	5	5	6	0.21
1562	36	39	5	5	3	0.2
126	17	39	0	5	8	0.63
392	17	39	1	5	8	0.63
658	17	39	2	5	8	0.63
924	17	39	3	5	8	0.63
1190	17	39	4	5	8	0.63
1456	17	39	5	5	8	0.63
1345	1	39	5	5	9	0.83
1174	15	39	4	5	9	1.08
1079	1	39	4	5	9	0.83
813	1	39	3	5	9	0.83
1364	4	39	5	5	7	0.61
1472	19	39	5	5	7	0.42
1222	20	39	4	5	7	0.65
1098	4	39	4	5	7	0.61
1206	19	39	4	5	7	0.42
158	20	39	0	5	7	0.65
424	20	39	1	5	7	0.65
690	20	39	2	5	7	0.65
956	20	39	3	5	7	0.65
110	15	39	0	5	7	0.67
376	15	39	1	5	7	0.67
642	15	39	2	5	7	0.67
547	1	39	2	5	7	0.92
281	1	39	1	5	7	0.92
15	1	39	0	5	7	0.92
908	15	39	3	5	7	0.67
34	4	39	0	5	7	0.61
300	4	39	1	5	7	0.61
566	4	39	2	5	7	0.61
832	4	39	3	5	7	0.61
940	19	39	3	5	7	0.42
674	19	39	2	5	7	0.42
408	19	39	1	5	7	0.42
142	19	39	0	5	7	0.42
1504	21	39	5	5	1	0.23
61	10	39	0	5	6	0.21
327	10	39	1	5	6	0.21
593	10	39	2	5	6	0.21
859	10	39	3	5	6	0.21
1125	10	39	4	5	6	0.21
1391	10	39	5	5	6	0.21
111	17	1	0	6	6	0.2
377	17	1	1	6	6	0.2
643	17	1	2	6	6	0.2
909	17	1	3	6	6	0.2
1175	17	1	4	6	6	0.2
1441	17	1	5	6	6	0.2
1349	4	1	5	6	7	0.4
1083	4	1	4	6	7	0.4
817	4	1	3	6	7	0.4
551	4	1	2	6	7	0.4
285	4	1	1	6	7	0.4
19	4	1	0	6	7	0.4
1373	9	3	5	6	1	0.25
1370	8	3	5	6	1	0.25
1367	7	3	5	6	1	0.25
1474	20	4	5	6	3	0.19
1458	19	4	5	6	4	0.19
112	17	4	0	6	6	0.19
378	17	4	1	6	6	0.19
644	17	4	2	6	6	0.19
910	17	4	3	6	6	0.19
1176	17	4	4	6	6	0.19
1442	17	4	5	6	6	0.19
1330	1	4	5	6	7	0.42
1160	15	4	4	6	7	0.67
1064	1	4	4	6	7	0.42
798	1	4	3	6	7	0.42
1366	6	5	5	6	1	0.2
1631	5	6	6	6	1	0.2
1612	3	7	6	6	1	0.25
1374	9	7	5	6	1	0.2
1371	8	7	5	6	1	0.2
1634	7	8	6	6	1	0.2
1613	3	8	6	6	1	0.25
1375	9	8	5	6	1	0.2
1638	8	9	6	6	1	0.2
1635	7	9	6	6	1	0.2
1614	3	9	6	6	1	0.25
252	39	10	0	6	6	0.21
518	39	10	1	6	6	0.21
784	39	10	2	6	6	0.21
1050	39	10	3	6	6	0.21
1316	39	10	4	6	6	0.21
1582	39	10	5	6	6	0.21
219	36	10	0	6	6	0.19
485	36	10	1	6	6	0.19
751	36	10	2	6	6	0.19
1017	36	10	3	6	6	0.19
1283	36	10	4	6	6	0.19
1549	36	10	5	6	6	0.19
161	21	10	0	6	6	0.19
427	21	10	1	6	6	0.19
693	21	10	2	6	6	0.19
959	21	10	3	6	6	0.19
1225	21	10	4	6	6	0.19
1491	21	10	5	6	6	0.19
1620	4	17	6	6	6	0.19
1601	1	17	6	6	6	0.2
