ID	s	d	ts	te	LLC	ELC
----------------------------------------------------
77	5	6	0	0	1	0.8
41	3	7	0	0	1	1.0
126	7	8	0	0	1	0.8
42	3	8	0	0	1	1.0
130	8	9	0	0	1	0.8
127	7	9	0	0	1	0.8
43	3	9	0	0	1	1.0
17	1	21	0	0	4	4.0
441	21	34	0	0	4	4.0
28	1	34	0	0	4	4.0
754	34	39	0	0	4	4.0
445	21	39	0	0	1	0.91
32	1	39	0	0	4	4.0
816	39	1	0	1	4	4.0
727	34	1	0	1	4	4.0
416	21	1	0	1	4	4.0
131	9	3	0	1	1	1.0
128	8	3	0	1	1	1.0
125	7	3	0	1	1	1.0
418	21	4	0	1	5	4.91
102	6	5	0	1	1	0.8
923	5	6	1	1	1	0.8
887	3	7	1	1	1	1.0
132	9	7	0	1	1	0.8
129	8	7	0	1	1	0.8
972	7	8	1	1	1	0.8
888	3	8	1	1	1	1.0
133	9	8	0	1	1	0.8
976	8	9	1	1	1	0.8
973	7	9	1	1	1	0.8
889	3	9	1	1	1	1.0
831	39	21	0	1	1	0.91
741	34	21	0	1	4	4.0
842	39	34	0	1	4	4.0
1291	21	39	1	1	1	0.91
74	4	39	0	1	5	4.0
920	4	39	1	1	5	4.0
977	9	3	1	2	1	1.0
974	8	3	1	2	1	1.0
971	7	3	1	2	1	1.0
818	39	4	0	2	5	4.0
1663	39	4	1	2	5	4.0
948	6	5	1	2	1	0.8
1768	5	6	2	2	1	0.8
1732	3	7	2	2	1	1.0
978	9	7	1	2	1	0.8
975	8	7	1	2	1	0.8
1817	7	8	2	2	1	0.8
1733	3	8	2	2	1	1.0
979	9	8	1	2	1	0.8
1821	8	9	2	2	1	0.8
1818	7	9	2	2	1	0.8
1734	3	9	2	2	1	1.0
1671	39	15	1	2	9	8.0
12	1	15	0	2	3	1.0
426	21	15	0	2	5	5.0
736	34	15	0	2	5	5.0
826	39	15	0	2	5	5.0
858	1	15	1	2	3	1.0
1703	1	15	2	2	3	1.0
58	4	20	0	2	3	0.74
904	4	20	1	2	3	0.74
1749	4	20	2	2	3	0.74
399	20	21	0	2	6	4.0
1245	20	21	1	2	6	4.0
2090	20	21	2	2	6	4.0
59	4	21	0	2	6	4.0
905	4	21	1	2	6	4.0
1750	4	21	2	2	6	4.0
1676	39	21	1	2	1	0.91
402	20	24	0	2	6	4.0
1248	20	24	1	2	6	4.0
2093	20	24	2	2	6	4.0
62	4	24	0	2	6	4.0
908	4	24	1	2	6	4.0
1753	4	24	2	2	6	4.0
521	24	32	0	2	6	4.0
1367	24	32	1	2	6	4.0
2212	24	32	2	2	6	4.0
439	21	32	0	2	6	4.0
1285	21	32	1	2	6	4.0
2130	21	32	2	2	6	4.0
408	20	32	0	2	6	4.0
1254	20	32	1	2	6	4.0
2099	20	32	2	2	6	4.0
68	4	32	0	2	6	4.0
914	4	32	1	2	6	4.0
1759	4	32	2	2	6	4.0
522	24	33	0	2	3	0.71
1368	24	33	1	2	3	0.71
2213	24	33	2	2	3	0.71
409	20	33	0	2	6	4.0
1255	20	33	1	2	6	4.0
2100	20	33	2	2	6	4.0
751	34	33	0	2	9	9.0
440	21	33	0	2	9	9.0
69	4	33	0	2	6	4.0
915	4	33	1	2	6	4.0
1686	39	33	1	2	9	8.0
841	39	33	0	2	9	8.0
1760	4	33	2	2	6	4.0
1287	21	34	1	2	6	4.0
2132	21	34	2	2	4	4.0
410	20	34	0	2	6	4.0
1256	20	34	1	2	6	4.0
2101	20	34	2	2	6	4.0
70	4	34	0	2	6	4.0
916	4	34	1	2	6	4.0
1761	4	34	2	2	6	4.0
443	21	36	0	2	3	0.91
30	1	36	0	2	5	4.83
752	34	36	0	2	5	4.83
1289	21	36	1	2	3	0.91
2134	21	36	2	2	3	0.91
787	36	39	0	2	3	0.8
1632	36	39	1	2	3	0.8
2477	36	39	2	2	3	0.8
1599	34	39	1	2	6	4.0
2444	34	39	2	2	4	4.0
