ID	s	d	ts	te	LLC	ELC
334	21	39	3	9	1	0.5
422	21	39	4	9	1	0.5
500	21	39	5	9	1	0.5
578	21	39	6	9	1	0.5
656	21	39	7	9	1	0.5
734	21	39	8	9	1	0.5
812	21	39	9	9	1	0.5
780	9	3	9	10	1	0.42
777	8	3	9	10	1	0.42
774	7	3	9	10	1	0.33
793	17	4	9	10	6	0.45
773	6	5	9	10	1	0.42
850	5	6	10	10	1	0.42
841	3	7	10	10	1	0.33
781	9	7	9	10	1	0.42
778	8	7	9	10	1	0.42
853	7	8	10	10	1	0.42
842	3	8	10	10	1	0.42
782	9	8	9	10	1	0.42
857	8	9	10	10	1	0.42
854	7	9	10	10	1	0.42
843	3	9	10	10	1	0.42
43	20	12	0	10	10	0.5
138	20	12	1	10	10	0.5
233	20	12	2	10	10	0.5
328	20	12	3	10	10	0.5
416	20	12	4	10	10	0.5
494	20	12	5	10	10	0.5
572	20	12	6	10	10	0.5
650	20	12	7	10	10	0.5
728	20	12	8	10	10	0.5
806	20	12	9	10	10	0.5
845	4	17	10	10	6	0.45
24	12	19	0	10	10	0.38
119	12	19	1	10	10	0.38
214	12	19	2	10	10	0.38
309	12	19	3	10	10	0.38
397	12	19	4	10	10	0.38
475	12	19	5	10	10	0.38
553	12	19	6	10	10	0.38
631	12	19	7	10	10	0.38
709	12	19	8	10	10	0.38
787	12	19	9	10	10	0.38
865	12	19	10	10	10	0.38
39	19	20	0	10	4	0.36
134	19	20	1	10	4	0.36
229	19	20	2	10	4	0.36
324	19	20	3	10	4	0.36
412	19	20	4	10	4	0.36
490	19	20	5	10	4	0.36
568	19	20	6	10	4	0.36
646	19	20	7	10	4	0.36
724	19	20	8	10	4	0.36
802	19	20	9	10	4	0.36
880	19	20	10	10	4	0.36
866	12	20	10	10	10	0.5
20	10	21	0	10	6	0.38
115	10	21	1	10	6	0.38
210	10	21	2	10	6	0.38
305	10	21	3	10	6	0.38
393	10	21	4	10	6	0.38
471	10	21	5	10	6	0.38
549	10	21	6	10	6	0.38
627	10	21	7	10	6	0.38
705	10	21	8	10	6	0.38
783	10	21	9	10	6	0.38
861	10	21	10	10	6	0.38
92	39	21	0	10	1	0.5
187	39	21	1	10	1	0.5
282	39	21	2	10	1	0.5
370	39	21	3	10	1	0.5
450	39	21	4	10	1	0.5
528	39	21	5	10	1	0.5
606	39	21	6	10	1	0.5
684	39	21	7	10	1	0.5
762	39	21	8	10	1	0.5
840	39	21	9	10	1	0.5
28	13	22	0	10	9	0.5
123	13	22	1	10	9	0.5
218	13	22	2	10	9	0.5
313	13	22	3	10	9	0.5
401	13	22	4	10	9	0.5
479	13	22	5	10	9	0.5
557	13	22	6	10	9	0.5
635	13	22	7	10	9	0.5
713	13	22	8	10	9	0.5
791	13	22	9	10	9	0.5
869	13	22	10	10	9	0.5
46	20	23	0	10	9	0.36
141	20	23	1	10	9	0.36
236	20	23	2	10	9	0.36
331	20	23	3	10	9	0.36
419	20	23	4	10	9	0.36
497	20	23	5	10	9	0.36
575	20	23	6	10	9	0.36
653	20	23	7	10	9	0.36
731	20	23	8	10	9	0.36
809	20	23	9	10	9	0.36
789	12	23	9	10	11	0.79
711	12	23	8	10	11	0.79
633	12	23	7	10	11	0.79
555	12	23	6	10	11	0.79
477	12	23	5	10	11	0.79
399	12	23	4	10	11	0.79
311	12	23	3	10	11	0.79
216	12	23	2	10	11	0.79
121	12	23	1	10	11	0.79
26	12	23	0	10	11	0.79
887	20	23	10	10	9	0.36
867	12	23	10	10	11	0.79
881	19	23	10	10	9	0.72
803	19	23	9	10	9	0.72
725	19	23	8	10	9	0.72
647	19	23	7	10	9	0.72
34	17	23	0	10	9	0.36
129	17	23	1	10	9	0.36
224	17	23	2	10	9	0.36
319	17	23	3	10	9	0.36
407	17	23	4	10	9	0.36
485	17	23	5	10	9	0.36
563	17	23	6	10	9	0.36
641	17	23	7	10	9	0.36
719	17	23	8	10	9	0.36
797	17	23	9	10	9	0.36
875	17	23	10	10	9	0.36
7	4	23	0	10	9	0.38
102	4	23	1	10	9	0.38
197	4	23	2	10	9	0.38
292	4	23	3	10	9	0.38
380	4	23	4	10	9	0.38
458	4	23	5	10	9	0.38
536	4	23	6	10	9	0.38
614	4	23	7	10	9	0.38
692	4	23	8	10	9	0.38
770	4	23	9	10	9	0.38
848	4	23	10	10	9	0.38
682	38	30	7	10	6	0.42
760	38	30	8	10	6	0.42
838	38	30	9	10	6	0.42
902	30	38	10	10	6	0.42
82	36	39	0	10	3	0.5
177	36	39	1	10	3	0.5
272	36	39	2	10	3	0.5
360	36	39	3	10	3	0.5
890	21	39	10	10	1	0.5
21	10	39	0	10	6	0.29
116	10	39	1	10	6	0.29
211	10	39	2	10	6	0.29
306	10	39	3	10	6	0.29
394	10	39	4	10	6	0.29
472	10	39	5	10	6	0.29
550	10	39	6	10	6	0.29
628	10	39	7	10	6	0.29
706	10	39	8	10	6	0.29
784	10	39	9	10	6	0.29
862	10	39	10	10	6	0.29
858	9	3	10	11	1	0.42
855	8	3	10	11	1	0.42
852	7	3	10	11	1	0.33
58	23	4	0	11	9	0.38
153	23	4	1	11	9	0.38
248	23	4	2	11	9	0.38
336	23	4	3	11	9	0.38
424	23	4	4	11	9	0.38
502	23	4	5	11	9	0.38
580	23	4	6	11	9	0.38
658	23	4	7	11	9	0.38
736	23	4	8	11	9	0.38
814	23	4	9	11	9	0.38
892	23	4	10	11	9	0.38
871	17	4	10	11	6	0.45
851	6	5	10	11	1	0.42
928	5	6	11	11	1	0.42
919	3	7	11	11	1	0.33
859	9	7	10	11	1	0.42
856	8	7	10	11	1	0.42
931	7	8	11	11	1	0.42
920	3	8	11	11	1	0.42
860	9	8	10	11	1	0.42
935	8	9	11	11	1	0.42
932	7	9	11	11	1	0.42
921	3	9	11	11	1	0.42
87	39	10	0	11	6	0.29
182	39	10	1	11	6	0.29
277	39	10	2	11	6	0.29
365	39	10	3	11	6	0.29
449	39	10	4	11	6	0.29
527	39	10	5	11	6	0.29
605	39	10	6	11	6	0.29
683	39	10	7	11	6	0.29
761	39	10	8	11	6	0.29
839	39	10	9	11	6	0.29
917	39	10	10	11	6	0.29
49	21	10	0	11	6	0.38
144	21	10	1	11	6	0.38
239	21	10	2	11	6	0.38
333	21	10	3	11	6	0.38
421	21	10	4	11	6	0.38
499	21	10	5	11	6	0.38
577	21	10	6	11	6	0.38
655	21	10	7	11	6	0.38
733	21	10	8	11	6	0.38
811	21	10	9	11	6	0.38
889	21	10	10	11	6	0.38
884	20	12	10	11	10	0.5
37	19	12	0	11	10	0.38
132	19	12	1	11	10	0.38
227	19	12	2	11	10	0.38
322	19	12	3	11	10	0.38
410	19	12	4	11	10	0.38
488	19	12	5	11	10	0.38
566	19	12	6	11	10	0.38
644	19	12	7	11	10	0.38
722	19	12	8	11	10	0.38
800	19	12	9	11	10	0.38
878	19	12	10	11	10	0.38
57	22	13	0	11	9	0.5
152	22	13	1	11	9	0.5
247	22	13	2	11	9	0.5
335	22	13	3	11	9	0.5
423	22	13	4	11	9	0.5
501	22	13	5	11	9	0.5
579	22	13	6	11	9	0.5
657	22	13	7	11	9	0.5
735	22	13	8	11	9	0.5
813	22	13	9	11	9	0.5
