ID	s	d	ts	te	LLC	size	parent	parentTime	replica
48	2	11	0	1	1	1		2		0			1
5	4	11	0	1	1	25		4		0			4
58	1	8	1	2	1	1		1		1			1
19	5	9	1	2	1	10		5		1			2
4	3	11	1	2	1	1		3		1			3
41	7	10	2	3	1	25		7		2			2
59	6	8	3	4	1	10		6		3			3
86	1	8	6	7	1	10		1		6			1
94	2	11	6	7	1	1		2		6			1
74	4	11	6	7	1	1		4		6			4
63	5	9	5	6	1	25		5		5			2
31	5	9	7	8	1	25		5		7			2
97	7	10	6	7	1	25		7		6			2
50	7	10	8	9	1	1		7		8			2
11	6	8	9	10	1	10		6		9			3
61	5	9	11	12	1	10		5		11			2
12	5	9	12	13	1	1		5		12			2
42	6	8	13	14	1	1		6		13			3
18	3	10	12	13	1	1		3		12			2
39	0	9	14	15	1	25		0		14			2
92	6	8	15	16	1	1		6		15			3
47	5	9	15	16	1	1		5		15			2
83	3	11	15	16	1	1		3		15			3
96	7	10	13	14	1	10		7		13			2
80	7	10	15	16	1	1		7		15			2
76	1	8	15	16	1	1		1		15			1
5	4	11	0	2	2	25		4		1			4
48	2	11	0	2	2	1		21		1			2
65	0	8	0	2	2	1		6		1			3
58	1	8	1	3	2	1		6		2			3
19	5	9	1	3	2	10		5		2			2
19	5	9	1	3	2	10		14		2			3
48	2	11	0	2	2	1		4		1			4
41	7	10	2	4	2	25		7		3			2
4	3	11	1	3	2	1		10		2			3
59	6	8	3	5	2	10		6		4			3
35	5	9	3	5	2	50		5		3			1
93	7	10	4	6	2	50		7		4			1
66	4	11	5	7	2	50		4		5			1
44	0	8	4	6	2	1		6		5			3
63	5	9	5	7	2	25		14		6			3
63	5	9	5	7	2	25		15		6			3
86	1	8	6	8	2	10		25		7			2
74	4	11	6	8	2	1		10		7			3
94	2	11	6	8	2	1		21		7			5
74	4	11	6	8	2	1		21		7			5
94	2	11	6	8	2	1		22		7			2
74	4	11	6	8	2	1		22		7			2
31	5	9	7	9	2	25		5		8			2
31	5	9	7	9	2	25		14		8			3
31	5	9	7	9	2	25		15		8			3
94	2	11	6	8	2	1		4		7			4
86	1	8	6	8	2	10		1		7			1
64	3	10	9	11	2	50		3		9			1
50	7	10	8	10	2	1		7		9			2
50	7	10	8	10	2	1		17		9			2
50	7	10	8	10	2	1		24		9			2
11	6	8	9	11	2	10		6		10			3
11	6	8	9	11	2	10		18		10			2
11	6	8	9	11	2	10		25		10			2
69	1	9	8	10	2	1		6		9			4
50	7	10	8	10	2	1		21		9			4
89	3	10	11	13	2	50		3		11			1
51	4	11	11	13	2	50		4		11			1
6	7	11	10	12	2	1		10		11			3
6	7	11	10	12	2	1		21		11			5
87	0	8	9	11	2	1		6		10			3
61	5	9	11	13	2	10		12		12			3
61	5	9	11	13	2	10		14		12			3
61	5	9	11	13	2	10		15		12			3
73	1	9	12	14	2	1		6		13			4
12	5	9	12	14	2	1		12		13			3
12	5	9	12	14	2	1		14		13			3
12	5	9	12	14	2	1		15		13			3
12	5	9	12	14	2	1		16		13			2
12	5	9	12	14	2	1		19		13			2
18	3	10	12	14	2	1		13		13			2
18	3	10	12	14	2	1		17		13			2
18	3	10	12	14	2	1		21		13			4
18	3	10	12	14	2	1		22		13			4
18	3	10	12	14	2	1		24		13			2
42	6	8	13	15	2	1		18		14			2
42	6	8	13	15	2	1		25		14			2
61	5	9	11	13	2	10		5		12			2
12	5	9	12	14	2	1		6		13			4
18	3	10	12	14	2	1		11		13			3
8	4	10	12	14	2	10		21		13			4
39	0	9	14	16	2	25		12		15			3
42	6	8	13	15	2	1		6		14			3
76	1	8	15	17	2	1		18		16			2
76	1	8	15	17	2	1		25		16			2
47	5	9	15	17	2	1		6		16			4
47	5	9	15	17	2	1		12		16			3
47	5	9	15	17	2	1		16		16			2
47	5	9	15	17	2	1		19		16			2
80	7	10	15	17	2	1		13		16			2
80	7	10	15	17	2	1		17		16			2
80	7	10	15	17	2	1		21		16			4
80	7	10	15	17	2	1		22		16			4
80	7	10	15	17	2	1		24		16			2
83	3	11	15	17	2	1		21		16			5
83	3	11	15	17	2	1		22		16			5
83	3	11	15	17	2	1		23		16			5
83	3	11	15	17	2	1		26		16			5
39	0	9	14	16	2	25		5		15			2
47	5	9	15	17	2	1		15		16			3
83	3	11	15	17	2	1		10		16			3
92	6	8	15	17	2	1		25		16			2
80	7	10	15	17	2	1		26		16			4
5	4	11	0	3	3	25		4		2			4
48	2	11	0	3	3	1		21		2			2
5	4	11	0	3	3	25		21		2			2
19	5	9	1	4	3	10		5		3			2
19	5	9	1	4	3	10		14		3			3
19	5	9	1	4	3	10		19		3			2
4	3	11	1	4	3	1		21		3			2
58	1	8	1	4	3	1		6		3			3
41	7	10	2	5	3	25		7		4			2
59	6	8	3	6	3	10		6		5			3
15	3	10	5	8	3	100		3		5			1
55	0	9	7	10	3	100		0		7			1
63	5	9	5	8	3	25		14		7			3
63	5	9	5	8	3	25		15		7			3
66	4	11	5	8	3	50		4		6			1
86	1	8	6	9	3	10		25		8			2
74	4	11	6	9	3	1		10		8			3
94	2	11	6	9	3	1		21		8			5
74	4	11	6	9	3	1		21		8			5
94	2	11	6	9	3	1		22		8			2
74	4	11	6	9	3	1		22		8			2
31	5	9	7	10	3	25		12		9			3
31	5	9	7	10	3	25		14		9			3
31	5	9	7	10	3	25		15		9			3
31	5	9	7	10	3	25		5		9			2
69	1	9	8	11	3	1		12		10			3
69	1	9	8	11	3	1		14		10			3
69	1	9	8	11	3	1		15		10			3
64	3	10	9	12	3	50		3		10			1
