ID	s	d	ts	te	LLC	size	parent	parentTime	replica
94	2	11	6	12	6	1	19	11	2
56	5	10	12	13	1	25	5	12	2
25	6	11	12	13	1	1	6	12	4
42	6	8	13	14	1	1	6	13	4
6	7	11	10	14	4	1	19	13	2
43	4	8	9	14	5	1	19	13	2
21	4	8	1	15	14	10	19	14	2
40	0	11	15	16	1	10	0	15	2
92	6	8	15	16	1	1	6	15	4
18	3	10	12	16	4	1	19	15	2
76	1	8	15	17	2	1	6	16	4
36	3	11	8	18	10	10	16	17	2
20	7	11	8	18	10	10	16	17	2
83	3	11	15	18	3	1	19	17	2
80	7	10	15	18	3	1	19	17	2
82	7	11	9	19	10	10	16	18	2
1	4	8	5	19	14	10	16	18	2
22	6	8	5	24	19	100	14	19	3
27	1	8	4	24	20	100	14	19	3
71	7	8	11	21	10	10	0	20	2
96	7	10	13	23	10	10	0	22	2
37	2	10	10	24	14	10	0	23	2
8	4	10	12	24	12	10	0	23	2
0	7	11	14	24	10	10	0	23	2
46	4	10	11	25	14	10	0	24	2
61	5	9	11	27	16	10	5	26	1
35	5	9	3	29	26	50	5	27	1
12	5	9	12	28	16	1	25	27	4
9	1	9	13	29	16	10	5	28	1
45	2	9	1	29	28	1	6	28	4
81	7	9	7	29	22	10	25	28	3
5	4	11	0	9	9	25	4	0	3
4	3	11	1	2	1	1	3	1	2
75	3	9	1	2	1	1	3	1	2
48	2	11	0	2	2	1	4	1	3
21	4	8	1	5	4	10	4	1	3
54	2	8	0	2	2	1	11	1	3
45	2	9	1	3	2	1	11	2	3
33	7	11	3	5	2	50	7	3	1
1	4	8	5	9	4	10	4	5	3
79	7	9	5	6	1	1	7	5	2
65	0	8	0	6	6	1	24	5	2
74	4	11	6	7	1	1	4	6	3
58	1	8	1	7	6	1	24	6	2
52	3	9	7	8	1	10	3	7	2
78	7	11	7	8	1	25	7	7	2
81	7	9	7	8	1	10	7	7	2
16	2	9	6	11	5	10	21	7	4
94	2	11	6	8	2	1	21	7	4
44	0	8	4	8	4	1	24	7	2
36	3	11	8	9	1	10	3	8	2
20	7	11	8	9	1	10	7	8	2
19	5	9	1	12	11	10	24	8	2
43	4	8	9	10	1	1	4	9	3
82	7	11	9	10	1	10	7	9	2
6	7	11	10	11	1	1	7	10	2
17	5	11	7	11	4	1	24	10	2
71	7	8	11	12	1	10	7	11	2
72	3	11	12	13	1	25	3	12	2
99	0	11	6	16	10	10	24	12	2
87	0	8	9	13	4	1	24	12	2
66	4	11	5	16	11	50	21	13	2
51	4	11	11	16	5	50	21	13	2
59	6	8	3	17	14	10	24	13	2
69	1	9	8	14	6	1	24	13	2
0	7	11	14	15	1	10	7	14	2
38	6	11	10	15	5	1	24	14	2
67	3	11	15	18	3	100	3	15	1
83	3	11	15	16	1	1	3	15	2
32	1	11	3	19	16	10	17	15	2
12	5	9	12	16	4	1	24	15	2
70	4	11	11	21	10	100	21	16	4
