ID	s	d	ts	te	LLC	size	parent
----------------------------------------------------
187	0	9	19	19	0	500		-1
110	0	9	22	22	0	500		-1
74	0	8	25	25	0	500		-1
109	0	9	31	31	0	500		-1
14	0	9	36	36	0	500		-1
245	0	9	49	49	0	500		-1
3	0	8	50	50	0	500		-1
87	0	8	60	60	0	500		-1
44	0	9	7	105	98	25		0
197	0	8	46	107	61	50		0
184	0	8	32	109	77	100		0
103	0	9	48	108	60	50		0
54	1	8	59	107	48	10		0
65	0	9	49	110	61	100		0
287	0	8	36	110	74	100		0
176	0	8	21	108	87	1		0
32	0	8	11	109	98	50		0
119	0	9	19	108	89	1		0
201	0	8	32	108	76	10		0
160	1	9	44	111	67	100		0
172	0	8	55	111	56	100		0
278	1	9	38	111	73	100		0
86	0	9	51	109	58	1		0
4	1	8	6	110	104	50		0
139	1	8	35	110	75	50		0
185	1	9	25	109	84	10		0
285	0	9	31	109	78	25		0
129	1	9	8	109	101	1		0
92	0	9	19	109	90	25		0
289	1	9	41	111	70	50		0
35	0	8	57	112	55	100		0
293	0	8	50	112	62	100		0
212	0	8	44	111	67	50		0
163	0	9	26	112	86	100		0
221	1	9	55	111	56	50		0
223	0	8	7	110	103	10		0
47	0	9	20	111	91	50		0
198	0	9	36	111	75	50		0
210	1	8	33	111	78	50		0
191	1	8	26	111	85	50		0
272	0	9	39	111	72	50		0
159	0	8	46	110	64	25		0
142	0	8	0	110	110	1		0
174	1	9	48	110	62	1		0
82	0	8	59	110	51	1		0
181	1	8	26	110	84	25		0
234	1	9	10	110	100	10		0
62	0	9	29	110	81	10		0
182	1	9	47	110	63	25		0
196	1	9	10	110	100	1		0
94	1	8	48	111	63	25		0
25	0	8	42	113	71	100		0
231	1	9	38	111	73	25		0
85	0	9	56	113	57	100		0
84	0	9	11	111	100	1		0
268	0	8	40	113	73	100		0
183	1	9	59	113	54	100		0
249	1	8	49	113	64	100		0
246	0	9	51	112	61	50		0
213	1	8	38	111	73	10		0
147	0	8	59	111	52	25		0
114	1	9	51	111	60	25		0
36	0	8	20	112	92	50		0
57	1	9	8	112	104	50		0
116	1	9	27	112	85	50		0
298	1	9	30	112	82	50		0
18	0	8	56	111	55	25		0
165	1	8	32	111	79	1		0
107	0	9	35	111	76	25		0
95	1	8	44	111	67	1		0
247	1	8	3	111	108	10		0
145	1	8	45	111	66	1		0
73	1	8	57	111	54	10		0
67	1	8	42	111	69	25		0
168	1	8	6	111	105	10		0
59	1	9	60	111	51	25		0
248	0	8	8	111	103	25		0
100	0	9	52	111	59	25		0
6	1	9	44	111	67	1		0
20	0	8	35	111	76	1		0
126	1	8	32	111	79	10		0
296	0	9	39	111	72	25		0
254	0	8	44	111	67	1		0
226	1	8	43	111	68	25		0
28	0	9	15	111	96	1		0
93	1	8	16	16	0	500		-1
237	1	9	25	25	0	500		-1
260	1	9	37	37	0	500		-1
132	1	9	39	39	0	500		-1
56	2	10	0	0	0	100		-1
104	2	11	1	1	0	1		-1
230	2	10	3	3	0	10		-1
284	2	11	4	4	0	500		-1
106	2	11	6	6	0	500		-1
135	2	10	7	7	0	500		-1
299	2	11	8	8	0	50		-1
280	2	11	9	9	0	10		-1
177	2	10	11	11	0	100		-1
148	2	10	12	12	0	10		-1
60	2	11	16	16	0	1		-1
166	2	11	20	20	0	100		-1
171	2	11	24	24	0	50		-1
276	2	11	26	26	0	50		-1
229	2	11	27	27	0	1		-1
205	2	11	32	32	0	50		-1
122	2	10	34	34	0	1		-1
150	2	11	34	34	0	25		-1
224	2	11	34	34	0	10		-1
15	2	10	35	35	0	25		-1
118	2	10	35	35	0	50		-1
21	2	10	36	36	0	500		-1
99	2	10	36	36	0	100		-1
154	2	11	38	38	0	25		-1
157	2	10	38	38	0	50		-1
5	2	11	39	39	0	10		-1
72	2	11	39	39	0	100		-1
270	2	11	39	39	0	25		-1
162	2	10	41	41	0	10		-1
238	2	10	42	42	0	100		-1
239	2	10	42	42	0	10		-1
266	2	11	43	43	0	10		-1
121	2	11	44	44	0	50		-1
23	2	10	47	47	0	10		-1
43	2	10	49	49	0	1		-1
146	2	11	49	49	0	25		-1
134	2	10	50	50	0	10		-1
169	2	10	51	51	0	10		-1
80	2	10	56	56	0	1		-1
244	3	10	0	0	0	25		-1
192	3	11	2	2	0	1		-1
8	3	10	3	3	0	100		-1
155	3	11	4	4	0	50		-1
275	3	10	4	4	0	10		-1
179	3	10	6	6	0	500		-1
137	3	11	7	7	0	50		-1
209	3	10	8	8	0	25		-1
290	3	11	10	10	0	25		-1
88	3	10	11	11	0	500		-1
112	3	11	11	11	0	10		-1
283	3	10	11	11	0	50		-1
199	3	10	12	12	0	25		-1
208	3	10	12	12	0	10		-1
218	3	11	15	15	0	100		-1
2	3	10	17	17	0	1		-1
149	3	10	18	18	0	100		-1
279	3	11	18	18	0	1		-1
33	3	10	27	27	0	25		-1
228	3	11	27	27	0	25		-1
288	3	10	27	27	0	50		-1
151	3	11	31	31	0	100		-1
68	3	10	33	33	0	25		-1
69	3	10	33	33	0	50		-1
243	3	11	33	33	0	100		-1
261	3	10	33	33	0	500		-1
102	3	10	34	34	0	25		-1
136	3	11	36	36	0	10		-1
204	3	10	36	36	0	50		-1
156	3	11	37	37	0	50		-1
58	3	11	38	38	0	1		-1
178	3	10	39	39	0	25		-1
222	3	11	39	39	0	10		-1
281	3	10	39	39	0	50		-1
12	3	10	40	40	0	25		-1
170	3	10	41	41	0	1		-1
203	3	11	44	44	0	10		-1
263	3	10	44	44	0	10		-1
200	3	11	46	46	0	1		-1
