#t	PDR	Latency	Energy
10	0.0	0	0
20	0.07142857142857142	14.0	7.04
30	0.07142857142857142	14.0	7.04
40	0.07142857142857142	14.0	7.04
50	0.336734693877551	38.42424242424242	19.25212121212121
60	0.336734693877551	38.42424242424242	19.25212121212121
70	0.336734693877551	38.42424242424242	19.25212121212121
80	0.336734693877551	38.42424242424242	19.25212121212121
90	0.336734693877551	38.42424242424242	19.25212121212121
